"Name","Url"
Vampire Blood Drive,https://miraongchua.com
Dacha 46,https://www.instagram.com/dacha_1946/?hl=en
Y'all Means All: The Emerging Voices Queering Appalachia,http://www.pmpress.org
American Sikh,https://ryanwestra.com
Samurai - Reunion,https://twitter.com/WeAreSHAMAN
Fool's Gold: Into the Bellowing Wilds,http://thedeckofmany.com
Pivo Pod X: Your pocket-sized cameraman,https://getpivo.com
FLECTR 360 WING | The bike reflector with 360° visibility,http://www.flectr.bike
I'm Cool Too,https://yafavtrashman.com/
Get Your Book Selling on Kickstarter: The definitive guide,
Sailor's Compass by Oceanus Brass,https://www.instagram.com/oceanus_brass/
Ailuri - A Hand-Drawn, 2D Platformer Adventure,https://vivinkstudios.com
YAWA BANDS: açaí bracelets to preserve the Amazon rainforest,https://togetherband.org/
Author Clock: A Novel Way To Tell Time,
The Style of Loish: Finding An Artistic Voice,http://loish.net/
Alien to Zombie by Mark Chiarello and Kevin Somers,http://www.fleskpublications.com
Beast,https://studiomidhall.com
Turbo Kid - The Video Game,http://outerminds.com/
PAINKILLER JANE: HEARTBREAKER One-Shot,https://www.paperfilms.com
Photon Ultra - 3D Print with ultra-precise light beams ⚡️,https://superbacker.co/anycubic-photon-ultra
Dear Mister Ward: Complaint Letters from the 1930s,https://www.dearmisterward.com
UDOO KEY: The Flexible AI Platform, From $4,http://www.udoo.org
Tarot Palmira Campaña,https://www.instagram.com/palmiracampagna/
Voidfall,http://mindclashgames.com
Fractal: Beyond the Void,https://www.boredgameink.com
Explorer MINI Toiletry Bag,https://www.graveltravel.com/
The Happy Halloween Tarot deck 🎃,https://sonigraves.com
Across Time and Space: A Doctor Who Companion,https://unbound.co.uk/
Befriend Your Brain: A young person's mental health guide,http://www.microcosmpublishing.com
One Deck Galaxy,http://AsmadiGames.com/
Mars Power Tarot,https://www.instagram.com/eatpianokeys/
LANDBACK.Art,https://landback.org/
Leather Travel Shoes That Fold & Don't Crease,http://www.acemarks.com
Let's Dub the Dirty Pair TV Series!,http://www.nozomientertainment.com
CHASING ALPHA: The Stan Getz Story,
Paint the Roses: A cooperative puzzle game in Wonderland,http://northstargames.com
Just Beyond Imagination,https://linktr.ee/alegacyforjasper
MOFT Smart Desk Mat -Snap, Stand & Organize All Your Devices,https://www.moft.us
Miskatonic Missives: The Letters of H.P. Lovecraft,https://www.helios.house
Cover Me Queer - Romance Novels but make it gay,
Verdant,https://www.facebook.com/flatoutgames/
Yours Truly Bakery Cafe: A Bay Area Sweet Experience,https://instagram.com/macaronsbynatalie
THE PORTENT TAROT & THE INTUITIVE NIGHT GODDESS TAROT,https://eyeofastro.com
Ava Zafar,http://www.39forks.com/
Gavin Turk - Piscio d’Artista,http://gavinturk.com
ATLAS - Tabletop Battle Maps & Encounter Cards for DnD 5e,https://moonlight-maps.com
THE WALL by Mario Alberti and Antoine Charreyron,https://www.magnetic-press.com
OpenCV AI Kit - Lite (and Tiny),https://opencv.org
